index,packaged_file,original_filename,width,height,original_sha256,original_bytes
30,mockups/030__a_clean_ui_design_mockup_screenshot_presentation.webp,a_clean_ui_design_mockup_screenshot_presentation.png,1536,1024,9c0a36a55bdd0afe1fa4f4ca720880cd0fdc8b3ea32247c865f914eb00f6eb1c,1884595
31,mockups/031__a_clean_ui_design_presentation_screenshot_mockup.webp,a_clean_ui_design_presentation_screenshot_mockup.png,1536,1024,1b7ca019257942500bdcd8b9df824314716dac98d6e5c7213f51dc0995521b5f,1786902
32,mockups/032__a_clean_ui_design_showcase_image_mockup_board_wi.webp,a_clean_ui_design_showcase_image_mockup_board_wi.png,1536,1024,11992c613c5f24adac304cf7846aa8e826e0a8018018f790027b520977603b1f,1849610
33,mockups/033__a_clean_ui_ux_concept_presentation_image_wide_lay.webp,a_clean_ui_ux_concept_presentation_image_wide_lay.png,1624,969,5c5742af6a2b5106cfc003e12888e774ca6a783d8a6be721e6e318df237c4766,2129293
34,mockups/034__a_clean_ui_ux_design_comparison_poster_mockup_scre.webp,a_clean_ui_ux_design_comparison_poster_mockup_scre.png,1024,1536,92ef6ab9896f48c0349339d7f7e50e7e977ba082511c8894d15be4dcaa4c8930,1783589
35,mockups/035__a_clean_ui_ux_design_mockup_image_showing_a_deskto.webp,a_clean_ui_ux_design_mockup_image_showing_a_deskto.png,1536,1024,ee5aca510e84a64f24a2fa6d4d33748b2a323d00bcf2afb13aa035ed45368e47,1764877
36,mockups/036__a_clean_ui_ux_design_mockup_image_showing_a_respon.webp,a_clean_ui_ux_design_mockup_image_showing_a_respon.png,1536,1024,23ed6b66e98fa7fa2aae35d941f6f7ac4bd65471925843d390f4e5952baaa2e2,1630640
37,mockups/037__a_clean_ui_ux_design_moodboard_mockup_image_with.webp,a_clean_ui_ux_design_moodboard_mockup_image_with.png,1536,1024,5440007ae7c8de80dfdd1754e6975234e2b9bddbd759325307bad98031b03aac,1862713
38,mockups/038__a_clean_ui_ux_design_presentation_mockup_screensho.webp,a_clean_ui_ux_design_presentation_mockup_screensho.png,1536,1024,bce27a0c411cecb40b76f35b1160eb68cd7e2e5685073e7fe67dd2ff1296635b,1600939
39,mockups/039__a_clean_ui_ux_design_presentation_slide_product.webp,a_clean_ui_ux_design_presentation_slide_product.png,1536,1024,4cfd8eb4e8f1c78a47743a838340aa8254b3ff9fb064fd4b81e8639ad008381d,1670267
40,mockups/040__a_clean_ui_ux_design_showcase_image_like_a_style.webp,a_clean_ui_ux_design_showcase_image_like_a_style.png,1536,1024,d6334c3a290c0f1457fa65ec50dae244e03fb8bd9f892610b913779c1ac3815b,1904708
41,mockups/041__a_clean_ui_ux_product_mockup_dashboard_screensho.webp,a_clean_ui_ux_product_mockup_dashboard_screensho.png,1536,1024,cb68c5c9fe5ff2997591fcab8e88db2dd1caca1cb9b0cedaf87c39f1439a50f4,1805934
42,mockups/042__a_clean_ux_research_product_design_presentation.webp,a_clean_ux_research_product_design_presentation.png,1536,1024,fb53e5d1a74a9f8d3f85cc9b0d83c30de5d7135edde7f985ca1e06359e550336,2059769
43,mockups/043__a_clean_ux_ui_design_presentation_app_concept_bo.webp,a_clean_ux_ui_design_presentation_app_concept_bo.png,1183,1329,a8543e26aacf9eefb9f6b45fb5d4e6bcf794a6ffbc774295878848e9bf7ebb99,1966744
44,mockups/044__a_dark_ui_infographic_style_presentation_slide_das.webp,a_dark_ui_infographic_style_presentation_slide_das.png,1536,1024,21146b55bb1f5bda55765131dda52cb199f7579f069f23aeef8773f9393965cc,2116834
45,mockups/045__a_dark_ui_ux_product_design_presentation_slide_d.webp,a_dark_ui_ux_product_design_presentation_slide_d.png,1536,1024,e418c11d46a2ea5e52ffac7464021bb1f47d2343a953ebef77b5bc7a5c7abf25,2024200
46,mockups/046__a_detailed_ui_ux_design_prototype_mockup_screensho.webp,a_detailed_ui_ux_design_prototype_mockup_screensho.png,1024,1536,4b4e463d8770c8c0e563c812710a6af4b9ec68b97f4c5ea2ce3d5fb27a22457a,1851909
47,mockups/047__a_high_detail_ui_ux_design_concept_mockup_poster.webp,a_high_detail_ui_ux_design_concept_mockup_poster.png,1024,1536,d1a872ea669c58e2a9f49da4ce2d19d4d66870a3afab687d5e375ddf939f1cb9,2252034
48,mockups/048__a_high_fidelity_ui_design_concept_spec_mockup_for.webp,a_high_fidelity_ui_design_concept_spec_mockup_for.png,1536,1024,a959e815269055ed5462364f47d0052bc3d55084b7f1137e5cb7aba96d053418,1894173
49,mockups/049__a_high_fidelity_ui_ux_mockup_screenshot_showing_g.webp,a_high_fidelity_ui_ux_mockup_screenshot_showing_g.png,1536,1024,0fa17d00200f5f27e06e2183817ef17d6f799338d9cb43aba8ea6b3d97bc6323,2033662
50,mockups/050__a_high_resolution_ui_design_mockup_product_scree.webp,a_high_resolution_ui_design_mockup_product_scree.png,1536,1024,f2bd991832d7fce09b04a10d699fed4fdbdb8964950e8fed594ab56995a11e21,1892495
51,mockups/051__a_high_resolution_ui_ux_design_presentation_image.webp,a_high_resolution_ui_ux_design_presentation_image.png,1536,1024,f5e3f128ffe9bd926320ecbce3331bcc63aa264474125158b2867570e0802b60,2069314
52,mockups/052__a_high_resolution_ux_design_presentation_product.webp,a_high_resolution_ux_design_presentation_product.png,1149,1369,400a56a1413e51ef7db64c6c25ba3eaf83f8396915e3a17374e71099f76abc48,1953634
53,mockups/053__a_large_clean_ui_design_mockup_presentation_image.webp,a_large_clean_ui_design_mockup_presentation_image.png,1536,1024,f5172b03ba6f7f68d1b7b357150b41c69e6dfa705aaf0c0e999742d291cbc861,1899040
54,mockups/054__coastal_midnight_atlas_travel_ui.webp,coastal_midnight_atlas_travel_ui.png,1122,1402,e6a12cf55cb8cb4d43c41e23dc070fbe2ae43953bd628a98570c8c026b065256,1710703
55,mockups/055__coastal_radar_travel_atlas_concept_board.webp,coastal_radar_travel_atlas_concept_board.png,1122,1402,55a1e0b039c1d4acadaca1c76a0a1114b2a408c14684a286fb5569cbe18a2380,1859885
56,mockups/056__guide-curated-reference.webp,guide-curated-reference.png,861,580,983a9f9981faeda5249d2b171b933a8af9388f0e17927794de86242d0aedbca8,363293
57,mockups/057__south_korea_atlas_travel_dashboard.webp,south_korea_atlas_travel_dashboard.png,1448,1086,0c39cfd9a973c06af1a1966f63a215ff3770c775ad831cfb092ce46a5438e1a3,2117601
58,mockups/058__waypoint_atlas_radar_travel_app_board.webp,waypoint_atlas_radar_travel_app_board.png,1122,1402,82cdc03d9b6623714db855045d0263a225464877b0936ae99b0f43440294e548,1991780
59,mockups/059__waypoint_atlas_travel_app_showcase.webp,waypoint_atlas_travel_app_showcase.png,1122,1402,191dda8435814d6a2bb9e12d7c3791cd97fb846d31d57b3a06f371fdcfd47c09,2057127
60,mockups/060__waypoint_atlas_travel_ui_presentation.webp,waypoint_atlas_travel_ui_presentation.png,1122,1402,c88cec5746f6ee43a97aebb44be677575660b290bca048d7233e87c1ddcb14e7,1889952
61,mockups/061__waypoint_atlas_travel_ui_showcase.webp,waypoint_atlas_travel_ui_showcase.png,1448,1086,cef83119c9215b3773c678ed43fcae5cf0bf10ba0b2082e4063c66bb4bcecdb7,1982691
62,mockups/062__waypoint_graphite_sage_style_guide.webp,waypoint_graphite_sage_style_guide.png,1122,1402,551d72a136aa84d513812316966bf641d1d291a06231d80cc5f61da18a5a0fb4,1797988
63,mockups/063__waypoint_hybrid_navigation_blueprint.webp,waypoint_hybrid_navigation_blueprint.png,1672,941,5cbe2c6e5fdeff87daa83a8d4a8407873620f6091073865d3ae0692f646a7c37,2002013
64,mockups/064__waypoint_korea_trip_map_showcase.webp,waypoint_korea_trip_map_showcase.png,1448,1086,5e6d3e7aef5ee69e077951436735df540e19b59ae0c42eaa55185582f5ad37d3,1927226
65,mockups/065__waypoint_mockup_guide.webp,waypoint_mockup_guide.png,900,1280,6465a3cf944e035ac899f97f7b8f7f8a4557e84fb4e45ce8ec55f511bf977532,68414
66,mockups/066__waypoint_mockup_provenance.webp,waypoint_mockup_provenance.png,900,1280,0710319a41e4e355f522677cfe2ac2d651713b747c516381c31461099a28bb28,53383
67,mockups/067__waypoint_mockup_search.webp,waypoint_mockup_search.png,900,1280,104046064813bf85dda12f642b4fe01dd4b0a7121e2e619304e1728403807dd8,49765
68,mockups/068__waypoint_mockup_sos.webp,waypoint_mockup_sos.png,900,1280,52c833b7e410ee1c892802cb10c6b7e2bee0998e803b61884c06ac3c02863d10,44774
69,mockups/069__waypoint_mockup_split.webp,waypoint_mockup_split.png,900,1280,7deca5aa1bac8fb24b1b9e90b299f857dfba4123865e84c2c60ce0fcd67c47e4,61522
70,mockups/070__waypoint_navigation_alternatives_board.webp,waypoint_navigation_alternatives_board.png,1672,941,26f78488863b073d09be62b97b38cece2906f061e44bd4c5ed8d7cdacaae6636,2295224
71,mockups/071__waypoint_s_stable_five_destination_architecture.webp,waypoint_s_stable_five_destination_architecture.png,1672,941,decdd8154d77d2368aa250d51021b62debd51c1c65a4773bfe494520d1ef38a7,1936185
72,mockups/072__waypoint_south_korea_travel_atlas_dashboard.webp,waypoint_south_korea_travel_atlas_dashboard.png,1448,1086,37ce0a174d50530ca0e4af6c97c159267dda7ad891a46914afe713144a6600fa,2104978
73,mockups/073__waypoint_south_korea_travel_dashboard.webp,waypoint_south_korea_travel_dashboard.png,1448,1086,5a6c03d8f3d64b14cf112a2fac4631da491f148662d83c8d65563abcb938c36f,1991825
74,mockups/074__waypoint_south_korea_travel_guide.webp,waypoint_south_korea_travel_guide.png,941,1672,71e13b579822da1ee93600966ed62608c8d043c2febc788bef983e94298c3679,1898745
75,mockups/075__waypoint_south_korea_travel_map.webp,waypoint_south_korea_travel_map.png,1448,1086,11c15a2421875876a79768b7aae9dad18683b83d537866585de4887ff0156dfb,1931962
76,mockups/076__waypoint_travel_app_design_board.webp,waypoint_travel_app_design_board.png,941,1672,2b80d1f4abb0157addfed6e7680f13c93b3173a897936dcb9997d6231c5c0402,1985007
77,mockups/077__waypoint_travel_app_design_system.webp,waypoint_travel_app_design_system.png,1672,941,102bc63f4a462e965509f3949a4b52cd842123f3159549803a23d39a40684411,1914857
78,mockups/078__waypoint_travel_map_ui_showcase.webp,waypoint_travel_map_ui_showcase.png,1448,1086,dc3c5bf4bb274832743e059193272d28b0b237890767bff3f14aaef53da6c4bb,2095218
79,mockups/079__wide_cinematic_ui_ux_mockup_presentation_of_a_tra.webp,wide_cinematic_ui_ux_mockup_presentation_of_a_tra.png,1536,1024,9b57a2755f25e02dd861eced6ec0e8461e24fdbd27223483324b7781b72168a3,1999823
80,mockups/080__wide_clean_ui_ux_mockup_presentation_image_of_a_tr.webp,wide_clean_ui_ux_mockup_presentation_image_of_a_tr.png,1536,1024,530ba81e620bec174f0c44f7875982202c27200edb16888e4b9d1a5a27bbc40b,1415162
81,mockups/081__wide_clean_ux_design_presentation_mockup_image.webp,wide_clean_ux_design_presentation_mockup_image.png,1536,1024,639e32c8c2f5dd3d4842357983430242293d328a6bc1ebc692f9a1d0e4a12c3b,1752259
